"Month","Month LY","Change","YTD","YTD LY","YTD Change","VehicleMake","VehicleModel"
149,165,-9.7,789,356,"121.63","MAZDA","MX-5 MIATA"
114,114,0.0,775,542,"42.99","LAND","ROVER RANGE ROVER"
149,108,37.96,769,725,"6.07","LAND","ROVER RANGE ROVER VELAR"
153,75,104.0,750,505,"48.51","LEXUS","ES"
178,108,64.81,746,444,"68.02","PORSCHE","911"
140,129,8.53,743,682,"8.94","NISSAN","ALTIMA"
146,121,20.66,743,639,"16.28","MINI","COUNTRYMAN"
146,99,47.47,741,608,"21.88","MERCEDES-BENZ","CLA-CLASS"
120,472,-74.58,693,3499,"-80.19","FORD","FUSION"
147,187,-21.39,693,471,"47.13","KIA","STINGER"
95,97,-2.06,687,572,"20.10","INFINITI","QX60"
139,112,24.11,674,474,"42.19","BMW","X4"
147,0,0.0,660,0,"0.00","KIA","K5"
125,80,56.25,642,423,"51.77","LINCOLN","NAVIGATOR"
129,111,16.22,639,944,"-32.31","NISSAN","LEAF"
87,248,-64.92,610,842,"-27.55","CHEVROLET","CAMARO"
75,134,-44.03,609,741,"-17.81","LAND","ROVER RANGE ROVER EVOQUE"
100,89,12.36,593,301,"97.01","CADILLAC","CT5"
98,68,44.12,568,480,"18.33","INFINITI","Q50"
91,47,93.62,566,229,"147.16","AUDI","A6"
76,64,18.75,560,330,"69.70","MERCEDES-BENZ","G-CLASS"
113,96,17.71,559,463,"20.73","BMW","X6"
106,65,63.08,539,343,"57.14","MERCEDES-BENZ","METRIS"
73,77,-5.19,533,257,"107.39","ACURA","ILX"
87,53,64.15,523,452,"15.71","BMW","5-SERIES"
96,156,-38.46,522,579,"-9.84","BMW","X7"
81,103,-21.36,521,526,"-0.95","VOLVO","60-SERIES"
128,92,39.13,521,359,"45.13","GENESIS","G70"
88,34,158.82,504,280,"80.00","CHRYSLER","300"
84,95,-11.58,499,676,"-26.18","TESLA","MODEL X"
121,34,255.88,495,337,"46.88","BMW","X2"
102,118,-13.56,493,727,"-32.19","MITSUBISHI","MIRAGE"
74,47,57.45,476,256,"85.94","INFINITI","QX80"
94,21,347.62,446,69,"546.38","PORSCHE","TAYCAN"
81,11,636.36,437,26,"1,580.77","CADILLAC","CT4"
51,110,-53.64,437,469,"-6.82","SUBARU","LEGACY"
41,68,-39.71,402,420,"-4.29","LAND","ROVER DISCOVERY SPORT"
95,166,-42.77,344,646,"-46.75","NISSAN","MAXIMA"
65,23,182.61,340,116,"193.10","NISSAN","ARMADA"
11,170,-93.53,340,683,"-50.22","HONDA","FIT"
65,61,6.56,339,236,"43.64","BMW","8-SERIES"
75,27,177.78,337,74,"355.41","PORSCHE","718"
108,123,-12.2,328,407,"-19.41","HYUNDAI","VELOSTER"
59,37,59.46,307,160,"91.88","ALFA","ROMEO STELVIO"
71,187,-62.03,304,800,"-62.00","NISSAN","TITAN"
51,63,-19.05,301,510,"-40.98","TESLA","MODEL S"
60,47,27.66,293,216,"35.65","AUDI","A7"
91,44,106.82,285,246,"15.85","NISSAN","NV"
35,55,-36.36,263,440,"-40.23","LEXUS","LX"
64,72,-11.11,256,255,"0.39","RAM","PROMASTER CITY"
79,10,690.0,244,87,"180.46","TOYOTA","SUPRA"
44,22,100.0,239,152,"57.24","TOYOTA","SEQUOIA"
30,22,36.36,193,174,"10.92","HONDA","INSIGHT"
64,0,0.0,190,0,"0.00","INFINITI","QX55"
38,23,65.22,188,125,"50.40","INFINITI","Q60"
1,437,-99.77,184,1428,"-87.11","KIA","SEDONA"
131,0,0.0,176,0,"0.00","GENESIS","GV70"
30,7,328.57,175,75,"133.33","GENESIS","G80"
59,0,0.0,174,0,"0.00","VOLKSWAGEN","TAOS"
24,23,4.35,173,95,"82.11","MASERATI","LEVANTE"
37,32,15.63,169,157,"7.64","VOLKSWAGEN","ARTEON"
4,66,-93.94,169,388,"-56.44","SUBARU","BRZ"
29,88,-67.05,166,442,"-62.44","HONDA","CLARITY FCV"
21,32,-34.38,161,215,"-25.12","LEXUS","GX"
30,5,500.0,153,46,"232.61","TOYOTA","LAND CRUISER"
1,34,-97.06,144,184,"-21.74","AUDI","ETRON"
36,1,3500.0,142,16,"787.50","LEXUS","LC"
34,30,13.33,135,100,"35.00","AUDI","TT"
24,38,-36.84,134,152,"-11.84","MERCEDES-BENZ","AMG GT"
34,32,6.25,132,126,"4.76","PORSCHE","PANAMERA"
2,218,-99.08,131,864,"-84.84","AUDI","A3"
23,10,130.0,130,80,"62.50","LEXUS","RC"
30,27,11.11,117,108,"8.33","BMW","Z4"
21,21,0.0,115,97,"18.56","JAGUAR","F-TYPE"
26,19,36.84,115,83,"38.55","ALFA","ROMEO GIULIA"
31,43,-27.91,107,195,"-45.13","JEEP","RENEGADE"
21,29,-27.59,103,177,"-41.81","LAND","ROVER DISCOVERY / LR4"
14,15,-6.67,102,93,"9.68","TOYOTA","AVALON"
19,12,58.33,93,41,"126.83","AUDI","R8"
15,18,-16.67,85,83,"2.41","BMW","7-SERIES"
11,12,-8.33,80,165,"-51.52","JAGUAR","E-PACE"
7,48,-85.42,80,217,"-63.13","DODGE","JOURNEY"
12,4,200.0,68,35,"94.29","VOLVO","90-SERIES"
8,15,-46.67,68,50,"36.00","MASERATI","GHIBLI"
7,10,-30.0,67,91,"-26.37","TOYOTA","86 / FR-S"
3,59,-94.92,59,241,"-75.52","MERCEDES-BENZ","S-CLASS"
11,20,-45.0,55,104,"-47.12","BMW","I3"
6,6,0.0,52,36,"44.44","JAGUAR","I-PACE"
10,3,233.33,49,23,"113.04","JAGUAR","XF"
7,24,-70.83,46,87,"-47.13","FIAT","124 SPIDER"
8,18,-55.56,41,88,"-53.41","AUDI","A8"
4,5,-20.0,25,24,"4.17","NISSAN","GT-R"
1,13,-92.31,25,41,"-39.02","MERCEDES-BENZ","SL-CLASS"
1,1,0.0,24,5,"380.00","TOYOTA","MIRAI"
4,0,0.0,24,61,"-60.66","LINCOLN","MKZ"
2,3,-33.33,23,18,"27.78","GENESIS","G90"
4,2,100.0,23,14,"64.29","LEXUS","LS"
3,2,50.0,23,10,"130.00","MASERATI","QUATTROPORTE"
7,0,0.0,21,0,"0.00","FORD","BRONCO"
2,42,-95.24,19,145,"-86.90","NISSAN","370Z"
1,23,-95.65,19,169,"-88.76","BUICK","REGAL"
1,18,-94.44,19,66,"-71.21","MERCEDES-BENZ","SLC-CLASS"
1,1,0.0,16,9,"77.78","ACURA","NSX"
3,3,0.0,15,22,"-31.82","FIAT","500X"
2,6,-66.67,15,34,"-55.88","LINCOLN","CONTINENTAL"
2,2,0.0,13,5,"160.00","FORD","GT"
3,4,-25.0,12,15,"-20.00","ALFA","ROMEO 4C"
2,77,-97.4,12,494,"-97.57","CHEVROLET","CRUZE"
1,16,-93.75,12,204,"-94.12","CHEVROLET","IMPALA"
1,7,-85.71,9,53,"-83.02","CADILLAC","CTS"
1,17,-94.12,9,86,"-89.53","BUICK","LACROSSE"
4,0,0.0,4,0,"0.00","JEEP","GRAND WAGONEER"
1,1,0.0,3,8,"-62.50","FIAT","500L"
1,15,-93.33,3,93,"-96.77","CADILLAC","CT6"
